INFO 2020-02-16 14:41:14,730 autoreload 5356 7468 Watching for file changes with StatReloader
INFO 2020-02-16 14:41:27,236 autoreload 5356 7468 C:\Users\Fillipi\Documents\python\projectBBK\projectBBK\settings.py changed, reloading.
INFO 2020-02-16 14:41:29,305 autoreload 16592 15648 Watching for file changes with StatReloader
INFO 2020-02-16 15:01:48,013 autoreload 13792 8300 Watching for file changes with StatReloader
INFO 2020-02-16 15:11:50,676 autoreload 4400 17092 Watching for file changes with StatReloader
WARNING 2020-02-16 15:12:01,659 log 4400 14128 Not Found: /
WARNING 2020-02-16 15:12:01,660 basehttp 4400 14128 "GET / HTTP/1.1" 404 179
WARNING 2020-02-16 15:12:01,940 log 4400 14128 Not Found: /favicon.ico
WARNING 2020-02-16 15:12:01,940 basehttp 4400 14128 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2020-02-16 15:12:04,760 basehttp 4400 14128 "GET /admin HTTP/1.1" 301 0
INFO 2020-02-16 15:12:04,876 basehttp 4400 14128 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:12:05,254 basehttp 4400 14128 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
WARNING 2020-02-16 15:12:05,280 log 4400 14128 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:12:05,283 log 4400 16912 Not Found: /static/admin/css/login.css
WARNING 2020-02-16 15:12:05,285 basehttp 4400 14128 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:12:05,288 log 4400 11056 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:12:05,289 basehttp 4400 16912 "GET /static/admin/css/login.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:12:05,290 basehttp 4400 11056 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2020-02-16 15:12:05,995 basehttp 4400 11056 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:12:06,006 basehttp 4400 11056 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
INFO 2020-02-16 15:12:47,413 basehttp 4400 11056 "POST /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:12:47,500 basehttp 4400 11056 "GET /admin/ HTTP/1.1" 200 15810
WARNING 2020-02-16 15:12:47,533 log 4400 11056 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:12:47,535 log 4400 16912 Not Found: /static/admin/css/dashboard.css
WARNING 2020-02-16 15:12:47,537 log 4400 14128 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:12:47,538 basehttp 4400 11056 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:12:47,538 basehttp 4400 16912 "GET /static/admin/css/dashboard.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:12:47,539 basehttp 4400 14128 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2020-02-16 15:12:53,192 basehttp 4400 14128 "GET /admin/login/?next=/admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:12:53,240 basehttp 4400 14128 "GET /admin/ HTTP/1.1" 200 15810
INFO 2020-02-16 15:13:11,721 autoreload 4400 17092 C:\Users\Fillipi\Documents\python\projectBBK\projectBBK\settings.py changed, reloading.
INFO 2020-02-16 15:26:24,838 autoreload 7164 17068 Watching for file changes with StatReloader
INFO 2020-02-16 15:26:38,336 basehttp 7164 13908 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:26:38,417 basehttp 7164 13908 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
WARNING 2020-02-16 15:26:38,450 log 7164 13908 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:26:38,451 basehttp 7164 13908 "GET /static/admin/css/base.css HTTP/1.1" 404 179
WARNING 2020-02-16 15:26:38,456 log 7164 13908 Not Found: /static/admin/css/responsive.css
WARNING 2020-02-16 15:26:38,457 basehttp 7164 13908 "GET /static/admin/css/responsive.css HTTP/1.1" 404 179
INFO 2020-02-16 15:26:38,852 basehttp 7164 13908 "GET /admin/ HTTP/1.1" 302 0
INFO 2020-02-16 15:26:38,866 basehttp 7164 13908 "GET /admin/login/?next=/admin/ HTTP/1.1" 200 1926
WARNING 2020-02-16 15:26:39,183 log 7164 13908 Not Found: /favicon.ico
WARNING 2020-02-16 15:26:39,185 basehttp 7164 13908 "GET /favicon.ico HTTP/1.1" 404 179
INFO 2020-02-16 15:26:45,187 basehttp 7164 13908 "POST /admin/login/?next=/admin/ HTTP/1.1" 200 2114
WARNING 2020-02-16 15:26:45,229 log 7164 13908 Not Found: /static/admin/css/base.css
WARNING 2020-02-16 15:26:45,231 log 7164 8960 Not Found: /static/admin/css/responsive.css
